"","subjectid","race_rv","gender","chicago","base_enjoy","base_worry","tma_sum_rv","cries_sum_rv","worry_durimm_avg","worry_del_avg","enjoy_del_avg","enjoy_durimm_avg","understand_avg","mw_day1_sum","mw_day2_sum","si_sum"
"27","Aq028","5",0,1,4,0,7,3,0.666667,0,0,2.16667,58.5714,17,9,48
"28","Aq029","1",0,1,2,2,15,10,2.33333,2.33333,2.33333,2,73.5714,18,19,38
"29","Aq030","1",1,1,4,0,6,2,0.333333,1.33333,2,3.66667,47.75,11.3725612394315,14,45
"30","Aq031","4",1,1,3,0,9,4,1.5,0.666667,2.33333,1.33333,72.5714,8,10,50
"31","Ar032","5",0,1,2,2,10.9544569830195,7,1,0.860523394221262,2.70718549189778,3,69,16,13.7587433238481,50.3612910673599
"32","Ar033a","5",0,1,3,0,25,5,0,0,3.33333,3,96.2857,30,10,60
"33","Ar034","2",1,1,3,0,9,2,0.5,1,2.66667,2.83333,85.5714,5,5,51
"34","Ar035","5",0,1,3,1,19,4,1.16667,0.333333,2.33333,2.83333,60,17,23,40
"35","Ar036a","5",0,1,2,1,6,13,0.333333,0,3,1.83333,82.5714,14,10.5546908940279,51.7752909966333
"36","Ar037","5",0,1,3,1,7,3,1.83333,1,3.66667,3,55,7,6,44
"37","Ar038","5",1,1,4,0,8.05854322680646,7,0,0.106233250523949,3.79663154051769,4,84.25,11.1098792357353,9.41100615187361,58.1496202507482
"38","Ar039","4",0,1,2,0,8.96075785342419,6,0,-0.0202492635799623,2.4224046837182,2.66667,96.75,9.19173693882455,8.74422939112469,49.3827855878304
"39","Ar040","2",0,1,4,0,5,4,1.16667,0,4,2.33333,56.2857,14,5,60
"40","Ar041","4",1,1,3,2,12,5,0.833333,0.333333,1,1.66667,73.4286,9,6,21
"41","Ar042","4",0,1,3,0,16,4,0,0,0.666667,1.16667,39,8,10,24
"42","Ar043","4",0,1,3,1,18,2,3,4,0,0.5,45.7143,12,11,32
"43","Ar044","5",0,1,3,0,5,4,0,0,3,3,94.1429,10,7,45
"44","Ar045","5",0,1,4,3,5,7,3.5,4,4,3.33333,67.1429,19,10,48
"45","Ar046","1",1,1,3,1,7,2,0.2,0,4,3.6,98.5714,4.98949635128513,5,56
"46","Ar047","4",1,1,2,0,8,8,0.833333,0,2.66667,1.5,83.4286,12,9,35
"47","Ar048","1",1,1,2,0,10,7,0.333333,0,0,2,66,10,11,32
"48","Ar049","5",0,1,3,1,13,6,1.16667,0,3,2.83333,58,10,11,49
