"","Condition","Sex","chicago","TMA_1","TMA_2","TMA_3","TMA_4","TMA_5","TMA_6","TMA_avg","SI_1","SI_2","SI_3","SI_4","SI_5","SI_6","SI_7","SI_8","SI_9","SI_10","SI_11","SI_12","SI_13","SI_14","MW1_1","MW1_2","MW1_3","MW1_4","MW1_5","MW1_6","MW1_7","MW2_1","MW2_2","MW2_3","MW2_4","MW2_5","Del_OverallAcc","Understand_avg","TMA"
"26","1",1,1,3,1,2,1,2,2,1.83333333333333,4,4,3,4,4,4,5,5,4,4,4,5,4,2,1,2,2,1,2,6,5,2,3,2,1,2,0.666666666666667,72.5714285714286,0
"27","1",0,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,5,2,1,1,1,0.3,96.2857142857143,1
"28","1",1,1,1,2,1,3,2,2,1.83333333333333,5,4,4,4,5,4,4,5,4,4,4,4,3,5,1,1,1,1,1,6,6,1,1,1,1,1,0.166666666666667,85.5714285714286,0
"29","0",0,1,4,4,4,4,3,4,3.83333333333333,3,4,4,3,5,3.6,4,4,4,3,4,2,5,4,3,4,4,3,3,3,3,5,4,5,5,4,0.2,60,0
"30","0",0,1,1,1,2,1,2,1,1.33333333333333,4,5,3,3,3,4,4,4,4,3,3,4,4,4,2,2,1,1,1,6,5,2,1,1,1,1,0.933333333333333,55,0
"31","1",0,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,2,4,1,1,5,4,1,1,1,1,1,0.6,56.2857142857143,0
"32","0",1,1,2,2,3,2,3,2,2.33333333333333,3,1,1,1,1,1,1,1,3,2,4,2,3,1,3,2,1,1,2,3,4,1,1,2,1,1,0.166666666666667,73.4285714285714,0
"33","0",0,1,1,3,5,3,4,1,2.83333333333333,1,1,1,1,1,3,2,2,3,3,4,2,1,1,3,1,1,1,2,6,3,2,2,2,2,2,0.733333333333333,39,0
"34","1",0,1,3,4,5,1,5,1,3.16666666666667,3,1,3,1,3,3,3,3,3,3,3,3,3,3,4,4,1,1,2,6,6,5,3,1,1,1,0.333333333333333,45.7142857142857,0
"35","0",0,1,1,1,1,1,1,1,1,4,4,3,3,4,4,4,3,4,4,4,4,4,3,2,2,2,2,2,5,5,2,1,1,1,2,0.4,94.1428571428571,0
"36","1",0,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,2,2,2,2,2,0.0666666666666667,67.1428571428571,0
"37","1",1,1,2,1,1,1,2,1,1.33333333333333,5,5,5,5,4,5,5,5,5,5,3,4,4,1,2.25,2,2.375,1.5,1.625,5.5,5.25,1,1,1,1,1,0.6,98.5714285714286,0
"38","0",1,1,2,1,2,1,2,2,1.66666666666667,3,3,3,2,2,3,3,3,3,3,4,3,4,4,5,3,2,1,1,6,5,2,2,2,1,2,0.733333333333333,83.4285714285714,0
"39","0",1,1,2,1,3,1,3,3,2.16666666666667,4,4,2,1,2,2,2,2,3,3,5,2,1,4,3,2,2,1,2,5,5,3,2,2,2,2,0.733333333333333,66,0
